City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san luis,-33.295,-66.3356,14.39,27,0,4.25,AR,1697509110
83,bredasdorp,-34.5322,20.0403,13.72,94,81,2.44,ZA,1697509111
84,khanpur,28.6453,70.6567,20.96,68,64,7.58,PK,1697509111
85,hilo,19.7297,-155.09,27.36,80,100,4.63,US,1697508846
86,jamestown,42.097,-79.2353,9.77,98,100,2.57,US,1697508899
87,san bernardo del viento,9.3533,-75.9524,27.0,82,88,1.5,CO,1697509111
88,bilibino,68.0546,166.4372,-10.58,95,99,1.68,RU,1697509112
89,phu ly,20.5411,105.9139,27.78,59,54,1.93,VN,1697509112
90,zeya,53.75,127.2667,1.94,37,86,1.54,RU,1697509112
91,papatowai,-46.5619,169.4708,10.17,55,79,5.18,NZ,1697509112
92,bamboo flat,11.7,92.7167,30.05,74,40,3.09,IN,1697509112
93,tolanaro,-25.0319,46.9987,21.02,87,100,0.97,MG,1697509077
94,georgetown,5.4112,100.3354,26.64,90,40,5.66,MY,1697508895
95,villa bruzual,9.3328,-69.1208,24.71,86,100,0.78,VE,1697509113
96,coquimbo,-29.9533,-71.3436,13.85,88,75,1.54,CL,1697509113
97,vorgashor,67.5833,63.95,1.78,97,100,5.11,RU,1697509113
98,campbell river,50.0163,-125.2446,13.74,100,75,2.06,CA,1697509114
99,sosnovo-ozerskoye,52.5249,111.5418,3.0,56,61,9.32,RU,1697509114
100,tucumcari,35.1717,-103.725,14.91,36,0,1.54,US,1697509114
101,salto,-31.3833,-57.9667,21.04,92,78,3.13,UY,1697509114
102,sao gabriel da cachoeira,-0.1303,-67.0892,23.48,94,78,0.11,BR,1697509114
103,thunder bay,48.4001,-89.3168,0.99,93,0,1.03,CA,1697509115
104,margate,51.3813,1.3862,12.17,69,100,3.13,GB,1697509115
105,kapuskasing,49.4169,-82.4331,-0.95,100,0,1.03,CA,1697508962
106,kijang,35.2442,129.2139,17.85,25,0,0.65,KR,1697509037
107,badger,64.8,-147.5333,4.09,72,75,2.06,US,1697509116
108,slavgorod,52.9978,78.6449,8.3,83,100,3.4,RU,1697509116
109,along,28.1667,94.7667,22.54,58,7,0.25,IN,1697509116
110,lake carmel,41.4615,-73.671,10.73,88,75,0.45,US,1697509116
111,vernal,40.4555,-109.5287,13.14,46,0,3.6,US,1697508975
112,qaqortoq,60.7167,-46.0333,0.61,92,79,2.15,GL,1697509117
113,alesund,62.4723,6.1549,12.09,93,75,9.26,NO,1697509117
114,hawaiian paradise park,19.5933,-154.9731,27.24,78,100,4.63,US,1697509117
115,jinchang,38.4953,102.1739,10.97,44,68,2.17,CN,1697509117
116,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,88,75,4.0,RU,1697509117
117,mccook,40.2019,-100.6257,13.25,55,0,3.09,US,1697509017
118,hermiston,45.8404,-119.2895,18.01,80,20,0.0,US,1697509118
119,punta arenas,-53.15,-70.9167,6.06,81,75,6.17,CL,1697509118
120,otjiwarongo,-20.4637,16.6477,15.67,24,4,5.26,NA,1697509118
121,kapa'a,22.0752,-159.319,28.18,74,75,4.63,US,1697509118
